id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
j1S3NUrkB3BVT49n_e76NQ,best-bagel-and-coffee-new-york,Best Bagel & Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/9-8DVzhwfzFS5GUCq3O6NA/o.jpg,False,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,3372,"[{'alias': 'bagels', 'title': 'Bagels'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['delivery', 'pickup']",$,+12125644409,(212) 564-4409,432.25160204234953,40.7522683,-73.9910861,225 W 35th St,,,New York,10001,US,NY,"['225 W 35th St', 'New York, NY 10001']"
-9NO2IDCJMyNGZMAQ1-VQw,ny-pizza-suprema-new-york,NY Pizza Suprema,https://s3-media4.fl.yelpcdn.com/bphoto/EqbDXneMuQP6pw6GemVdQA/o.jpg,False,https://www.yelp.com/biz/ny-pizza-suprema-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,2037,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.0,"['delivery', 'pickup']",$,+12125948939,(212) 594-8939,192.4033843904829,40.7502059936523,-73.9953231811523,413 8th Ave,,,New York,10001,US,NY,"['413 8th Ave', 'New York, NY 10001']"
xZ96vaoL-cQjfotmUKtjJQ,barn-joo-35-new-york,Barn Joo 35,https://s3-media2.fl.yelpcdn.com/bphoto/h4zKOxpPuJ958w8S43Wu4A/o.jpg,False,https://www.yelp.com/biz/barn-joo-35-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,2030,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"['pickup', 'delivery']",$$,+12125644430,(212) 564-4430,904.6989205949949,40.74964,-73.98582,34 W 35th St,,,New York,10001,US,NY,"['34 W 35th St', 'New York, NY 10001']"
2l0dBpaoPVQ1JwD7CaQu-w,madman-espresso-new-york-4,Madman Espresso,https://s3-media1.fl.yelpcdn.com/bphoto/NBukSq7Yo6RM1KaPxMPZZA/o.jpg,False,https://www.yelp.com/biz/madman-espresso-new-york-4?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,275,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.0,"['pickup', 'delivery']",$$,+12125647505,(212) 564-7505,412.48360193146925,40.7520356305538,-73.991293900852,234 W 35th St,,,New York,10001,US,NY,"['234 W 35th St', 'New York, NY 10001']"
scjoZtbTQHi35xhAlUm2iQ,l-adresse-new-york,L'ADRESSE,https://s3-media4.fl.yelpcdn.com/bphoto/5e1imblvIs25UkgLKiapwQ/o.jpg,False,https://www.yelp.com/biz/l-adresse-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,649,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,"['delivery', 'pickup']",$$,+12122212510,(212) 221-2510,945.0978637918637,40.75403,-73.98539,1065 Ave Of The Americas,,,New York,10018,US,NY,"['1065 Ave Of The Americas', 'New York, NY 10018']"
eIPiRkf6KCo9A9Ok-Nr_ow,miss-korea-bbq-new-york,Miss KOREA BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/Aep13M2z7VkF3Ub0bCMoCw/o.jpg,False,https://www.yelp.com/biz/miss-korea-bbq-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,1842,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",3.5,"['delivery', 'pickup']",$$,+12125944963,(212) 594-4963,960.4338036272676,40.747452,-73.986336,10 W 32nd St,"1st, 2nd & Fl 3",,New York,10001,US,NY,"['10 W 32nd St', '1st, 2nd & Fl 3', 'New York, NY 10001']"
KaBw8UEm8uZTV6YLsshYrQ,pocha-32-new-york,Pocha 32,https://s3-media4.fl.yelpcdn.com/bphoto/YuKnb9o67f7I-HguQeMLxQ/o.jpg,False,https://www.yelp.com/biz/pocha-32-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,1534,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.5,"['pickup', 'delivery']",$$,+12122791876,(212) 279-1876,942.2548180393482,40.747524574399,-73.9862626791,15 W 32nd St,Fl 2,,New York,10001,US,NY,"['15 W 32nd St', 'Fl 2', 'New York, NY 10001']"
QObHX0yR6zd0WfksRDbJTA,becco-new-york-4,Becco,https://s3-media1.fl.yelpcdn.com/bphoto/-2p7x5nakbTB0nz96x4bLg/o.jpg,False,https://www.yelp.com/biz/becco-new-york-4?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,2846,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,"['delivery', 'pickup']",$$$,+12123977597,(212) 397-7597,1134.4490556205496,40.76083,-73.98981,355 W 46th St,,,New York,10036,US,NY,"['355 W 46th St', 'New York, NY 10036']"
0tJEDmeNMLueSGLNTF0JFg,angelina-bakery-new-york,Angelina Bakery,https://s3-media3.fl.yelpcdn.com/bphoto/Z3vj9tEBGVQdGctYo0ovkw/o.jpg,False,https://www.yelp.com/biz/angelina-bakery-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,204,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'donuts', 'title': 'Donuts'}]",4.5,"['pickup', 'delivery']",$$,+12126877100,(212) 687-7100,523.0476690710772,40.75498,-73.99166,575 8th Ave,,,New York,10018,US,NY,"['575 8th Ave', 'New York, NY 10018']"
N4q6Y9cpvUbJ3O5rydrSbQ,shortys-new-york,Shorty's,https://s3-media1.fl.yelpcdn.com/bphoto/a_Umxky5C7td931OFvgt2Q/o.jpg,False,https://www.yelp.com/biz/shortys-new-york?adjust_creative=6v4EI3OSRvC_vOqa5f2qaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6v4EI3OSRvC_vOqa5f2qaA,698,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"['delivery', 'pickup']",$$,+12129673055,(212) 967-3055,764.6140159044996,40.758103,-73.992529,576 9th Ave,,,New York,10036,US,NY,"['576 9th Ave', 'New York, NY 10036']"
