,price,bathrooms,bedrooms,latitude,longitude,elevator,cats_allowed,hardwood_floors,dogs_allowed,doorman,dishwasher,no_fee,laundry_in_building,fitness_center,pre-war,laundry_in_unit,roof_deck,outdoor_space,dining_room,high_speed_internet
price,1.0,0.496489531823081,0.5021635724040623,-0.16799862206657087,-0.1944207327237417,0.2086837541775156,0.06029833609592763,0.07623388459046289,0.06719238415212511,0.2590322584682841,0.20936214470981518,0.14283303330749378,-0.0014937817930227798,0.2279060284843742,-0.04500760793357597,0.2167619503223691,0.12638280251071066,0.14280136861453335,0.19728594764955704,0.09470784008798923
bathrooms,0.496489531823081,1.0,0.48149381652531736,0.009949131847786001,-0.006862152658875937,0.1444312767833563,0.02032572705832682,0.10090173259369678,0.0224077735848423,0.16933805559193682,0.18483792252751366,0.13685081413038305,-0.019402889316056198,0.16524457761808659,-0.02429363466858031,0.2178054514211181,0.11193734840817171,0.149644282045312,0.2595918302804966,0.10567638987900327
bedrooms,0.5021635724040623,0.48149381652531736,1.0,0.026392516226127007,0.04464428077190076,0.013193967504778985,-0.0030844791692747476,0.10882992351533824,-0.001396236043345126,-0.012641641231162307,0.1618208128194494,0.15460380614477623,0.002454051294921918,0.04389011380675179,0.0008292052870621882,0.1591573364066709,0.06554803124093206,0.12036340738038487,0.1973717755323975,0.08109193626294338
latitude,-0.16799862206657087,0.009949131847786001,0.026392516226127007,1.0,0.5919636630508389,-0.09970891168176614,-0.01604261321139762,-0.06383107516474713,-0.025299362602915456,-0.14272418326543215,-0.09031857269026555,-0.02989761232895828,-0.05702112905828524,-0.16757165270022453,0.018461339856447358,-0.07110790559120056,-0.10769978045182842,-0.09399508586047942,-0.00688796610336904,-0.06382369694912901
longitude,-0.1944207327237417,-0.006862152658875937,0.04464428077190076,0.5919636630508389,1.0,-0.1559748613115746,-0.0726559744882891,-0.05510271863625832,-0.08900412193127581,-0.21357645028445077,-0.10651461853863534,-0.05660053016327356,-0.06594483779776725,-0.24446076152920881,0.01617126048763872,-0.106154554933511,-0.15370985366903123,-0.10847088639244236,-0.023168339812897638,-0.11676862593348479
elevator,0.2086837541775156,0.1444312767833563,0.013193967504778985,-0.09970891168176614,-0.1559748613115746,1.0,0.009082848594011775,0.25148370244284285,0.006043242651864134,0.6243098139622995,0.34078859250397453,0.2340677778322653,0.1526289145631657,0.4224592464387263,-0.11671505496587971,0.11887101130084009,0.3136292913021827,0.2092480332529885,0.2018651618223312,0.2577166001096595
cats_allowed,0.06029833609592763,0.02032572705832682,-0.0030844791692747476,-0.01604261321139762,-0.0726559744882891,0.009082848594011775,1.0,-0.21087735745995637,0.9415483785449967,0.08398598579680516,-0.0733285530442518,-0.049974320029604696,0.10467718897255714,0.11843858326650226,0.05169227153900154,-0.022797037523302966,0.014170924687261811,0.04673098040943391,-0.04186324081332435,0.0633673242543965
hardwood_floors,0.07623388459046289,0.10090173259369678,0.10882992351533824,-0.06383107516474713,-0.05510271863625832,0.25148370244284285,-0.21087735745995637,1.0,-0.22271493785188273,0.17445211029702384,0.636311466966435,0.35117483153944756,-0.1457174526566839,0.1503071230034225,-0.005652924390121675,0.35148305441754,0.2563861798050224,0.1781792022177943,0.3032588871269233,0.21290435683089537
dogs_allowed,0.06719238415212511,0.0224077735848423,-0.001396236043345126,-0.025299362602915456,-0.08900412193127581,0.006043242651864134,0.9415483785449967,-0.22271493785188273,1.0,0.08641983500686222,-0.07288891360860296,-0.041110711674291645,0.09365890495710372,0.11924597637179421,0.05893618982523913,-0.014280612920518172,0.017835458448433414,0.045460953599836144,-0.0364714775194177,0.0741074178195956
doorman,0.2590322584682841,0.16933805559193682,-0.012641641231162307,-0.14272418326543215,-0.21357645028445077,0.6243098139622995,0.08398598579680516,0.17445211029702384,0.08641983500686222,1.0,0.2950961563293872,0.26464801305064584,0.09085231149798896,0.5981223940057009,-0.06576540883073737,0.14553100862556576,0.3690149071558812,0.2077082473941832,0.20660434336318978,0.2859585532705515
dishwasher,0.20936214470981518,0.18483792252751366,0.1618208128194494,-0.09031857269026555,-0.10651461853863534,0.34078859250397453,-0.0733285530442518,0.636311466966435,-0.07288891360860296,0.2950961563293872,1.0,0.3804548440593535,-0.10861066439051552,0.2662597995974902,-0.001185087118333893,0.4366279748521881,0.28903344930643177,0.22198747228110058,0.35223810204794737,0.23705221085943443
no_fee,0.14283303330749378,0.13685081413038305,0.15460380614477623,-0.02989761232895828,-0.05660053016327356,0.2340677778322653,-0.049974320029604696,0.35117483153944756,-0.041110711674291645,0.26464801305064584,0.3804548440593535,1.0,0.011705569802595685,0.3111615562503098,0.013616039667927238,0.2915111332047691,0.2707332510754903,0.19658839464540348,0.23185650815307157,0.24857418040476137
laundry_in_building,-0.0014937817930227798,-0.019402889316056198,0.002454051294921918,-0.05702112905828524,-0.06594483779776725,0.1526289145631657,0.10467718897255714,-0.1457174526566839,0.09365890495710372,0.09085231149798896,-0.10861066439051552,0.011705569802595685,1.0,0.12861329167216468,-0.09570411033575975,-0.08722226615213745,-0.03099606623693246,0.2478359028692974,-0.05488736760407829,0.0008361942142115006
fitness_center,0.2279060284843742,0.16524457761808659,0.04389011380675179,-0.16757165270022453,-0.24446076152920881,0.4224592464387263,0.11843858326650226,0.1503071230034225,0.11924597637179421,0.5981223940057009,0.2662597995974902,0.3111615562503098,0.12861329167216468,1.0,-0.06498020468539384,0.1729178203105816,0.44601275335671003,0.24249161009082362,0.1886454600361473,0.34695546827857665
