,price,ChinaTown_Dist,CircleLnFerry_Dist,ClassicCarClub_Dist,CocktailK_dist,Colonnade_Dist,ColorFactory_Dist,CortlandtAlley_Dist,CoveLedZepp_Dist,CurryHill_Dist,DelacorteMusic_Dist,DiamondDistrict_Dist,DreamHouse_Dist,DrNevilles_Dist,EmpireStateBldg_Dist,ExploreChinaTKiosk_Dist,Flatiron_Dist,FoodTruckStreet_Dist,FreeKayaking_Dist,FreePublicStarG_Dist
price,1.0,-0.1448098271443907,-0.12428010595038702,-0.15950290358890296,-0.1309442142229038,-0.14251932266862033,-0.156523923472557,-0.1448101678382712,-0.14252236391814313,-0.1299800448746063,-0.12625590012118768,-0.12484550785424138,-0.15746310902512792,-0.14324223237851968,-0.13093354366904095,-0.14480864459963488,-0.13000275773234723,-0.12484554330223803,-0.15224449733052445,-0.15950169377322337
ChinaTown_Dist,-0.1448098271443907,1.0,0.3152088165844205,0.7541148881519694,0.31746800346203136,0.9897720316548135,0.5532259640685155,0.999999639710578,0.9898396959211493,0.3173987384159869,0.31938699677958227,0.31950825150377893,0.5527402735736238,0.9941197897944996,0.3174660043704055,0.9999975088623348,0.3174041441214957,0.3195085539305057,0.7737689479908266,0.7540884184117941
CircleLnFerry_Dist,-0.12428010595038702,0.3152088165844205,1.0,0.6545840355901285,0.9746562980114187,0.3133526718410114,0.382534967982145,0.31520893015086376,0.3133740937219762,0.9744139955627488,0.9814031438126385,0.9818279682646597,0.3821991312536113,0.3145856982354983,0.9746501606141939,0.31520826497772764,0.9744305910764233,0.9818288976022191,0.6796348225470263,0.6545610594234764
ClassicCarClub_Dist,-0.15950290358890296,0.7541148881519694,0.6545840355901285,1.0,0.6592756164904446,0.7496741926132552,0.788383472919113,0.7541151598516846,0.7497254429543557,0.659131775991767,0.6632607283400574,0.6635125341352095,0.7876913319423762,0.7526241213990127,0.6592714650410082,0.7541135684718159,0.6591430018469493,0.6635131621750893,0.9815708195439583,0.999964899592103
CocktailK_dist,-0.1309442142229038,0.31746800346203136,0.9746562980114187,0.6592756164904446,1.0,0.31559855522701086,0.3852766996039224,0.31746811784243606,0.3156201306443929,0.9819873417632633,0.9886071065350209,0.9890100686532427,0.3849384558426847,0.31684041905529914,0.9999883646565157,0.3174674479018241,0.982004066260687,0.9890110047889337,0.6845059492157006,0.6592524756473893
Colonnade_Dist,-0.14251932266862033,0.9897720316548135,0.3133526718410114,0.7496741926132552,0.31559855522701086,1.0,0.5499682269396805,0.9897723882593354,0.9998389510924813,0.31552969805645836,0.3175062483233383,0.31762678902461716,0.5494853964912456,0.9868481455808819,0.3155965679072747,0.9897702995811902,0.315535071929825,0.31762708967046804,0.7692125171746165,0.7496478787433046
ColorFactory_Dist,-0.156523923472557,0.5532259640685155,0.382534967982145,0.788383472919113,0.3852766996039224,0.5499682269396805,1.0,0.5532261633900504,0.5500058246848115,0.3851926400828151,0.3876055749673775,0.3877527287574931,0.9968827349914572,0.552132323182938,0.38527427352187504,0.5532249959384115,0.38519920040497274,0.3877530957802163,0.8075231238089116,0.7883558003376344
CortlandtAlley_Dist,-0.1448101678382712,0.999999639710578,0.31520893015086376,0.7541151598516846,0.31746811784243606,0.9897723882593354,0.5532261633900504,1.0,0.9898400525500499,0.31739885277143615,0.31938711185138025,0.3195083666192637,0.5527404727201694,0.9941201479654732,0.31746611875008995,0.9999978897389241,0.3174042584788926,0.3195086690460994,0.7737692267716942,0.7540886901019725
CoveLedZepp_Dist,-0.14252236391814313,0.9898396959211493,0.3133740937219762,0.7497254429543557,0.3156201306443929,0.9998389510924813,0.5500058246848115,0.9898400525500499,1.0,0.31555126876652423,0.3175279541572705,0.31764850309913184,0.5495229612284039,0.9869156099601731,0.31561814318879666,0.9898379637291154,0.31555664300726755,0.31764880376553595,0.7692651032236928,0.7496991272854973
CurryHill_Dist,-0.1299800448746063,0.3173987384159869,0.9744139955627488,0.659131775991767,0.9819873417632633,0.31552969805645836,0.3851926400828151,0.31739885277143615,0.31555126876652423,1.0,0.9883867777896703,0.9887903311279013,0.38485447011947027,0.3167712909353776,0.9819811582025574,0.31739818297699157,0.9999815571346685,0.9887912670556023,0.6843566039728002,0.659108640197572
